SETTLEMENT_DATE,observation_dtg_utc,temp_c,TSD
01-Jan-2017,2017-01-01 00:00:00,6.70,26336.58
01-Jan-2017,2017-01-01 06:00:00,5.70,27275.25
01-Jan-2017,2017-01-01 12:00:00,6.00,35678.08
01-Jan-2017,2017-01-01 18:00:00,3.30,33286.08
02-Jan-2017,2017-01-02 00:00:00,2.20,26419.25
02-Jan-2017,2017-01-02 06:00:00,0.90,31837.83
02-Jan-2017,2017-01-02 12:00:00,3.90,38933.67
02-Jan-2017,2017-01-02 18:00:00,1.70,38447.33
03-Jan-2017,2017-01-03 00:00:00,-0.00,28545.08
03-Jan-2017,2017-01-03 06:00:00,1.80,39881.17
03-Jan-2017,2017-01-03 12:00:00,5.40,44492.92
03-Jan-2017,2017-01-03 18:00:00,5.50,39892.75
04-Jan-2017,2017-01-04 00:00:00,5.20,29996.75
04-Jan-2017,2017-01-04 06:00:00,5.60,41403.42
04-Jan-2017,2017-01-04 12:00:00,7.10,45858.08
04-Jan-2017,2017-01-04 18:00:00,3.10,42424.50
05-Jan-2017,2017-01-05 00:00:00,0.20,31944.50
05-Jan-2017,2017-01-05 06:00:00,-2.10,43909.17
05-Jan-2017,2017-01-05 12:00:00,2.80,46451.83
05-Jan-2017,2017-01-05 18:00:00,1.20,42710.75
06-Jan-2017,2017-01-06 00:00:00,0.40,32024.08
06-Jan-2017,2017-01-06 06:00:00,1.70,43345.17
06-Jan-2017,2017-01-06 12:00:00,5.60,46840.67
06-Jan-2017,2017-01-06 18:00:00,5.80,41267.33
07-Jan-2017,2017-01-07 00:00:00,6.70,31326.33
07-Jan-2017,2017-01-07 06:00:00,7.30,36653.33
07-Jan-2017,2017-01-07 12:00:00,9.20,41664.42
07-Jan-2017,2017-01-07 18:00:00,9.00,37957.08
08-Jan-2017,2017-01-08 00:00:00,8.20,28737.17
08-Jan-2017,2017-01-08 06:00:00,7.20,33342.42
08-Jan-2017,2017-01-08 12:00:00,8.70,40585.00
08-Jan-2017,2017-01-08 18:00:00,8.70,36697.75
09-Jan-2017,2017-01-09 00:00:00,8.00,27276.58
09-Jan-2017,2017-01-09 06:00:00,8.10,40242.67
09-Jan-2017,2017-01-09 12:00:00,8.00,44732.17
09-Jan-2017,2017-01-09 18:00:00,5.90,39213.00
10-Jan-2017,2017-01-10 00:00:00,4.50,28662.75
10-Jan-2017,2017-01-10 06:00:00,5.50,41292.25
10-Jan-2017,2017-01-10 12:00:00,7.90,45571.42
10-Jan-2017,2017-01-10 18:00:00,7.90,40286.83
11-Jan-2017,2017-01-11 00:00:00,7.90,28548.00
11-Jan-2017,2017-01-11 06:00:00,8.90,38804.08
11-Jan-2017,2017-01-11 12:00:00,8.40,41989.58
11-Jan-2017,2017-01-11 18:00:00,5.90,39541.25
12-Jan-2017,2017-01-12 00:00:00,4.70,29646.75
12-Jan-2017,2017-01-12 06:00:00,4.60,42718.67
12-Jan-2017,2017-01-12 12:00:00,4.70,47185.33
12-Jan-2017,2017-01-12 18:00:00,1.30,41810.50
13-Jan-2017,2017-01-13 00:00:00,0.80,30110.08
13-Jan-2017,2017-01-13 06:00:00,1.90,42374.00
13-Jan-2017,2017-01-13 12:00:00,4.50,44784.83
13-Jan-2017,2017-01-13 18:00:00,2.80,41295.08
14-Jan-2017,2017-01-14 00:00:00,1.20,30926.08
